epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
59,31300.2,1.18949,1.14028,1.47896,0.88951,0.79656,0.88637,0.62089,1.10754,0.72394,1.34123,4.258e-05,4.258e-05,4.258e-05
60,31829.8,1.18477,1.12516,1.47536,0.87418,0.83395,0.89351,0.62164,1.12112,0.7233,1.34488,4.159e-05,4.159e-05,4.159e-05
61,32359.5,1.18053,1.12802,1.47432,0.87593,0.81177,0.88659,0.62696,1.10653,0.73562,1.33735,4.06e-05,4.06e-05,4.06e-05
62,32889.3,1.1644,1.11033,1.47004,0.87859,0.82821,0.89797,0.63402,1.10218,0.70528,1.32733,3.961e-05,3.961e-05,3.961e-05
63,33419.5,1.17323,1.1182,1.46654,0.87741,0.83419,0.89786,0.6351,1.10434,0.69246,1.33859,3.862e-05,3.862e-05,3.862e-05
64,33949.6,1.16956,1.10267,1.46676,0.89042,0.83223,0.90156,0.64018,1.09226,0.69308,1.33005,3.763e-05,3.763e-05,3.763e-05
65,34479.8,1.1466,1.07977,1.44578,0.88317,0.83219,0.89837,0.6377,1.08229,0.68891,1.32869,3.664e-05,3.664e-05,3.664e-05
66,35009.5,1.15066,1.09657,1.45006,0.89571,0.82921,0.89866,0.64209,1.07804,0.68245,1.31498,3.565e-05,3.565e-05,3.565e-05
67,35539.7,1.14772,1.09134,1.45485,0.88102,0.84463,0.90417,0.64473,1.07944,0.68271,1.31372,3.466e-05,3.466e-05,3.466e-05
68,36070.3,1.13356,1.0704,1.44387,0.89859,0.84873,0.91021,0.65702,1.0597,0.66208,1.30424,3.367e-05,3.367e-05,3.367e-05
69,36600.7,1.14454,1.08486,1.44547,0.90008,0.83167,0.90721,0.6545,1.06007,0.66342,1.30528,3.268e-05,3.268e-05,3.268e-05
70,37131.1,1.13505,1.07061,1.44697,0.88963,0.83953,0.90338,0.64654,1.06388,0.67349,1.30762,3.169e-05,3.169e-05,3.169e-05
71,37661,1.13456,1.07137,1.44793,0.90331,0.83798,0.90787,0.65347,1.06549,0.68056,1.31628,3.07e-05,3.07e-05,3.07e-05
72,38192,1.12424,1.05653,1.43871,0.88889,0.8437,0.90081,0.64471,1.08139,0.68295,1.32428,2.971e-05,2.971e-05,2.971e-05
73,38723.1,1.1202,1.05093,1.44063,0.90851,0.82467,0.90404,0.64789,1.09409,0.67324,1.35022,2.872e-05,2.872e-05,2.872e-05
74,39254.1,1.11679,1.04737,1.43071,0.8919,0.83384,0.90597,0.65526,1.05968,0.67241,1.31844,2.773e-05,2.773e-05,2.773e-05
75,39785.2,1.10811,1.04352,1.42912,0.89325,0.84252,0.90031,0.64811,1.06355,0.67916,1.32187,2.674e-05,2.674e-05,2.674e-05
76,40316.7,1.1019,1.04147,1.42267,0.88222,0.84028,0.90066,0.65012,1.05742,0.66947,1.31658,2.575e-05,2.575e-05,2.575e-05
77,40848.2,1.09183,1.02997,1.42202,0.88715,0.8513,0.91227,0.65959,1.0547,0.65891,1.31597,2.476e-05,2.476e-05,2.476e-05
78,41379.8,1.09819,1.0276,1.42347,0.90721,0.83547,0.91085,0.65618,1.05587,0.66132,1.31709,2.377e-05,2.377e-05,2.377e-05
79,41911.1,1.08509,1.01593,1.41641,0.88603,0.84155,0.90746,0.65872,1.0553,0.66541,1.31785,2.278e-05,2.278e-05,2.278e-05
80,42442.6,1.08537,0.9947,1.40268,0.90279,0.83227,0.90723,0.66226,1.03838,0.65725,1.3059,2.179e-05,2.179e-05,2.179e-05
81,42974.3,1.08779,1.01079,1.41394,0.90664,0.83432,0.90686,0.65947,1.04835,0.65705,1.31206,2.08e-05,2.08e-05,2.08e-05
82,569.588,1.09293,1.02672,1.41766,0.90448,0.83765,0.90507,0.65204,1.06323,0.66653,1.316,1.981e-05,1.981e-05,1.981e-05
83,1151.92,1.07181,1.00443,1.41366,0.88805,0.84563,0.90844,0.65767,1.05071,0.67302,1.31503,1.882e-05,1.882e-05,1.882e-05
84,1733.68,1.0754,0.98327,1.40718,0.8972,0.84136,0.90843,0.665,1.03399,0.65842,1.30812,1.783e-05,1.783e-05,1.783e-05
85,2314.59,1.06245,0.98544,1.39927,0.915,0.82435,0.90736,0.6631,1.02572,0.6577,1.29841,1.684e-05,1.684e-05,1.684e-05
86,2894.41,1.06038,0.96928,1.39586,0.90308,0.84255,0.90572,0.66594,1.02472,0.65677,1.29793,1.585e-05,1.585e-05,1.585e-05
87,3474.87,1.05796,0.9756,1.39113,0.89884,0.84095,0.90661,0.67068,1.0177,0.64945,1.28678,1.486e-05,1.486e-05,1.486e-05
88,4056.21,1.03515,0.93914,1.37672,0.90086,0.85228,0.91601,0.67002,1.02572,0.64273,1.29923,1.387e-05,1.387e-05,1.387e-05
89,4636.08,1.04743,0.94937,1.38392,0.90358,0.85639,0.91668,0.67446,1.01465,0.63353,1.28731,1.288e-05,1.288e-05,1.288e-05
90,5217.45,1.03169,0.95201,1.37295,0.90011,0.84832,0.91342,0.67274,1.01619,0.6415,1.29331,1.189e-05,1.189e-05,1.189e-05
91,5795.31,0.80415,0.55685,1.20481,0.8965,0.83851,0.90528,0.66051,1.03585,0.65224,1.33188,1.09e-05,1.09e-05,1.09e-05
92,6373.24,0.76702,0.50175,1.17306,0.9027,0.84299,0.912,0.67011,1.0235,0.63974,1.32097,9.91e-06,9.91e-06,9.91e-06
93,6950.86,0.75885,0.47725,1.17235,0.90041,0.85487,0.91425,0.67708,1.00923,0.63269,1.30782,8.92e-06,8.92e-06,8.92e-06
94,7527.95,0.74115,0.47324,1.15876,0.8921,0.85702,0.91447,0.68033,1.00169,0.62534,1.29798,7.93e-06,7.93e-06,7.93e-06
95,8105.31,0.73767,0.46625,1.15988,0.92834,0.83731,0.91724,0.68559,0.98994,0.61656,1.30197,6.94e-06,6.94e-06,6.94e-06
96,8682.79,0.72862,0.45923,1.1535,0.91638,0.85011,0.9144,0.68029,0.99879,0.61965,1.3124,5.95e-06,5.95e-06,5.95e-06
97,9260.88,0.71474,0.4531,1.14651,0.91664,0.84946,0.91505,0.68137,0.99112,0.61548,1.30504,4.96e-06,4.96e-06,4.96e-06
98,9839.06,0.70611,0.44498,1.14041,0.91541,0.85738,0.91932,0.68517,0.99062,0.6123,1.30895,3.97e-06,3.97e-06,3.97e-06
99,10415.5,0.70547,0.446,1.13891,0.91192,0.85638,0.9192,0.68846,0.98508,0.60879,1.30562,2.98e-06,2.98e-06,2.98e-06
100,10993.6,0.70005,0.44287,1.13158,0.90358,0.86511,0.91898,0.68878,0.98528,0.61052,1.30601,1.99e-06,1.99e-06,1.99e-06
